iter	Passed	Remaining
811	8531	1975
812	8541	1964
813	8550	1953
814	8560	1943
815	8571	1932
816	8581	1922
817	8591	1911
818	8604	1901
819	8615	1891
820	8625	1880
821	8636	1870
822	8647	1859
823	8658	1849
824	8668	1838
825	8678	1828
826	8689	1817
827	8700	1807
828	8710	1796
829	8720	1786
830	8729	1775
831	8741	1765
832	8751	1754
833	8760	1743
834	8772	1733
835	8783	1723
836	8795	1712
837	8805	1702
838	8816	1691
839	8826	1681
840	8836	1670
841	8847	1660
842	8856	1649
843	8867	1638
844	8877	1628
845	8886	1617
846	8896	1607
847	8905	1596
848	8917	1586
849	8928	1575
850	8939	1565
851	8950	1554
852	8959	1543
853	8970	1533
854	8982	1523
855	8991	1512
856	9002	1502
857	9012	1491
858	9023	1481
859	9033	1470
860	9047	1460
861	9057	1450
862	9069	1439
863	9081	1429
864	9093	1419
865	9103	1408
866	9113	1398
867	9124	1387
868	9134	1377
869	9143	1366
870	9154	1355
871	9164	1345
872	9173	1334
873	9183	1323
874	9194	1313
875	9205	1303
876	9215	1292
877	9225	1281
878	9235	1271
879	9246	1260
880	9255	1250
881	9263	1239
882	9274	1228
883	9284	1218
884	9293	1207
885	9303	1197
886	9311	1186
887	9322	1175
888	9334	1165
889	9345	1155
890	9357	1144
891	9367	1134
892	9376	1123
893	9386	1112
894	9394	1102
895	9404	1091
896	9413	1080
897	9424	1070
898	9433	1059
899	9443	1049
900	9454	1038
901	9463	1028
902	9474	1017
903	9484	1007
904	9493	996
905	9503	985
906	9512	975
907	9523	964
908	9534	954
909	9546	944
910	9556	933
911	9569	923
912	9578	912
913	9590	902
914	9600	891
915	9608	881
916	9619	870
917	9629	860
918	9642	849
919	9655	839
920	9664	829
921	9673	818
922	9683	807
923	9693	797
924	9702	786
925	9712	776
926	9721	765
927	9731	755
928	9741	744
929	9752	734
930	9761	723
931	9770	712
932	9782	702
933	9792	691
934	9800	681
935	9809	670
936	9818	660
937	9828	649
938	9839	639
939	9850	628
940	9860	618
941	9873	607
942	9887	597
943	9899	587
944	9912	576
945	9924	566
946	9938	556
947	9953	545
948	9966	535
949	9978	525
950	9991	514
951	10004	504
952	10017	494
953	10028	483
954	10040	473
955	10054	462
956	10068	452
957	10079	441
958	10088	431
959	10098	420
960	10110	410
961	10120	399
962	10130	389
963	10140	378
964	10149	368
965	10159	357
966	10171	347
967	10183	336
968	10198	326
969	10208	315
970	10219	305
971	10230	294
972	10241	284
973	10253	273
974	10265	263
975	10279	252
976	10291	242
977	10305	231
978	10318	221
979	10330	210
980	10342	200
981	10354	189
982	10366	179
983	10375	168
984	10386	158
985	10398	147
986	10410	137
987	10420	126
988	10432	116
989	10443	105
990	10454	94
991	10464	84
992	10474	73
993	10485	63
994	10496	52
995	10506	42
996	10517	31
997	10528	21
998	10539	10
999	10551	0
